timeline-year,timeline-milestone,chapter_title,timeline-content,content_order,img,p,timeline-minor-title,minor_order,minor_img,minor_p
2023,Chapter 1,The usual beginning...,July: First message,"img, p",202307-1.jpg,"Hee Joong ghosts Calvin, thinking 'Must be a Chinese scammer... (or maybe not?)'",,,,
2023,Chapter 1,The usual beginning...,October: The restart after three full months,"img, p",202310-1.jpg,"Calvin tried again, and our journey started.",,,,
2024,Chapter 2,A leap of faith,January: Flying into the unknown,"img, img, p","202401-1.jpg, 202401-2.jpg",Only to find the one in a skip trip to Lake Tahoe.,,,,
2024,,,,,,,January: Calvin's secret wish,"img, p",202401-3.jpg,"Facing the beautiful, serene Lake Tahoe sunrise, Calvin secretly wished this moment could last a little longer, knowing Hee Joong had to return to school…"
2024,,,,,,,March-May: cross-country trips to spend more time with Calvin,"img, p",202403-1.jpg,Hee Joong made cross-country trips to spend more time with Calvin.
2024,Chapter 3,The Mexican sunset,,,202406-1.jpg,,,,,
2024,Chapter 4,Calvin's first visit to Seoul,July: he instantly falls in love with 'the big city' alongwith Hee Joong,"img, p",202407-1.jpg,Calvin and Hee Joong experience local people's support for their love; Calvin meets with Hee Joong's mom for the first time over a dinner.,,,,
2024,,,,,,,July: Trip to Bali & Lombok,"img, p",202407-11.jpg,Their first voyage across the Pacific Ocean & the Lombok Strait
2024,,,,,,,October: Calvin flies to Massachusetts,"img, p",202410-1.jpg,"Calvin flew to see Hee Joong studying in Massachusetts: fall coastal trip to New Port, foliage sunset, meeting Hee Joong’s Korean friends and linguistic colleagues;"
2024,Chapter 5,Six Senses Ninh Van Bay,December: X-mas gifting for disabled children in Nha Trang,"img, img, p","202412-1.jpg, 202412-2.jpg","During the vacation at Six Senses Ninh Van Bay, Calvin and Hee Joong participated in the X-mas gifting event at Nha Trang School for Disabled Children and their special attachment for Nha Trang grew…",,,,
2025,Chapter 6,Hee Joong's first visit to Chengdu,January: Hee Joong experienced deep hospitality of Chengdu and love of Calvin’s big family ,,202501-1.jpg,,,,,
2025,,,,,,,March,,202503-1.jpg,Calvin visits Hee Joong in Massachusetts during Spring break (Spring skiing in Vermont)
2025,,,,,,,May,,202505-1.jpg,Hee Joong's b-day picnic at Dolores Park
2025,,,,,,,July,,202507-1.jpg,Thailand
2025,,,,,,,July,,202507-6.jpg,Chengdu (GP1 defense)
2025,,,,,,,July,,202507-11.jpg,Seoul (Hee Joong dad's b-day dinner)
2025,Chapter 7,Welcoming each other's family in California,August: Wang Liu visits,"img, p",202508-1.jpg,,,,,
2025,Chapter 7,Welcoming each other's family in California,September: Hee Joong's mom visits,"img, p",202509-1.jpg,,,,,
2025,Chapter 7,Welcoming each other's family in the U.S.,December: Calvin's parents visit and a joint trip to Hawai'i,"img, p",202512-1.jpg,,,,,
2026,Chapter 8,"Culmination of two years, back in Tahoe",January: the Wedding proposal,"img, p",202601-1.jpg,,,,,
2026,Chapter 9,In the South Korean Southwest,March: Family trip to Mokpo and received Hee Joong parents blessing ,"img, p",202603-1.jpg,,,,,
2027,Chapter 10,"NHA TRANG, Vietnam",April 3rd: Calvin and Hee Joong look forward to celebrating this important day with you,"img, p",202704-1.jpg,,,,,
